name,Energie,Acide Gras,Sucre,Sodium,Proteine,Fibre,Teneur en fruits,nova_grade,nutriscore_grade,nutriscore_score,categories
Duo de Haricots Verts et Haricots Beurre,106.0,0.0,0.5,314.96000000000004,1.5,2.8,80.0,3.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve"
Purée pomme poire 4x100g,231.0,0.1,10.0,4.0,0.4,1.8,99.0,1.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes poires"
Purée pomme banane,273.0,0.2,12.0,4.0,0.5,1.4,99.0,1.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes banane"
Dosen Mischgemüse,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Dosen Mischgemüse,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Dosen Mischgemüse,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Dosen Mischgemüse,263.0,0.2,3.7,228.0,3.4,4.2,100.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve, Légumes en conserve et bocal"
Maïs bio sans sucres ajoutés,89.0,0.5,4.9,172.0,2.9,4.5,98.0,3.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes et dérivés, Légumes en conserve, Céréales en conserve, Maïs en conserve, Maïs doux en conserve"
Poulet basquaise - Riz cuisiné aux tomates,453.0,0.3,1.5,252.0,6.9,0.8,21.0,3.0,A,-1,"Surgelés, Plats préparés, en:meat-based-products, Plats préparés à la viande, Plats à base de riz, Plats à la volaille, Plats préparés surgelés, Plats au poulet, Plats préparés à réchauffer au micro-ondes, Poulets basquaise"
Duo de haricots verts et haricots beurre coupés,97.0,0.0,0.7,224.0,1.6,3.0,100.0,3.0,A,-6,Légumes en conserve et bocal
Duo de haricots verts et haricots beurre coupés,97.0,0.0,0.7,224.0,1.6,3.0,100.0,3.0,A,-6,Légumes en conserve et bocal
Fromage blanc velouté 0% mat. gr.,194.0,0.0,4.1,52.0,7.3,0.0,0.0,3.0,A,-4,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté 0% mat. gr.,194.0,0.0,4.1,52.0,7.3,0.0,0.0,3.0,A,-4,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs au lait de vache, Fromages blancs natures"
"Le petit fromage frais nature 3,8% de matière grasse sur produit fini",341.0,2.5,2.3,36.0,9.5,0.0,0.0,3.0,A,-2,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Petits suisses, Desserts lactés fermentés nature, Petits suisses nature"
Fromage blanc velouté 0% mat. gr.,194.0,0.0,4.1,52.0,7.3,0.0,0.0,3.0,A,-4,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures"
Fromage blanc velouté 0% mat. gr.,194.0,0.0,4.1,52.0,7.3,0.0,0.0,3.0,A,-4,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs au lait de vache, Fromages blancs natures"
"Haricot vert Poulet, sans morceaux",249.0,0.3,1.1,20.0,2.8,1.7,0.0,3.0,A,-2,Repas pour bébés
Haricots verts extra fins 345g ne,122.0,0.1,0.4,124.0,1.7,3.9,52.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve"
Skyr nature vache 400g CC,239.0,0.0,3.9,36.0,10.0,0.0,0.0,3.0,A,-5,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Skyrs, Skyrs nature"
Carottes extrafines,85.0,0.0,2.3,212.0,0.6,2.1,100.0,3.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Carottes, Carottes en conserve, Légumes en conserve et bocal"
